Step,Loss,Batch Size,Train Accuracy,Test Accuracy
326,2.5806293,16,0.125,
327,2.7368898,16,0.125,
328,3.0053773,16,0.0,
329,2.6010509,16,0.3125,
330,2.3199103,16,0.3125,
331,2.790694,16,0.0,
332,2.9458153,16,0.125,
333,2.2329836,16,0.4375,
334,2.9851747,16,0.125,
335,2.7705073,16,0.1875,
336,2.9214299,16,0.1875,
337,3.043381,16,0.125,
338,2.8111863,16,0.125,
339,3.0835314,16,0.0625,
340,3.0317235,16,0.125,
341,3.08248,16,0.0,
342,2.753819,16,0.1875,
343,2.816915,16,0.25,
344,2.8618922,16,0.0,
345,2.9667435,16,0.125,
346,2.4540803,16,0.3125,
347,3.1402392,16,0.0625,
348,2.5863779,16,0.25,
349,3.0210333,16,0.0,
350,3.0252814,16,0.0625,
351,2.8793926,16,0.125,
352,2.7608228,16,0.1875,
353,2.6550655,16,0.3125,
354,2.8312516,16,0.125,
355,3.0583754,16,0.0625,
356,2.5805907,16,0.25,
357,2.5809498,16,0.1875,
358,2.9999635,16,0.0625,
359,2.81539,16,0.1875,
360,2.7207377,16,0.1875,
361,2.8211493,16,0.125,
362,2.527782,16,0.125,
363,2.6227944,16,0.0625,
364,2.9512537,16,0.125,
365,2.844708,16,0.0625,
366,2.2220144,16,0.25,
367,2.974634,16,0.0,
368,2.6651654,16,0.125,
369,2.2920208,16,0.1875,
370,2.8742678,16,0.0,
371,2.61765,16,0.1875,
372,2.855533,16,0.0625,
373,2.816474,16,0.0,
374,2.5818748,16,0.1875,
375,2.7780824,16,0.0625,
376,2.8140688,16,0.125,
377,3.0291772,16,0.1875,
378,2.5365515,16,0.25,
379,2.5748973,16,0.1875,
380,2.4259057,16,0.25,
381,2.8027294,16,0.125,
382,2.4303594,16,0.1875,
383,3.3015165,16,0.0625,
384,2.738215,16,0.1875,
385,2.2368693,16,0.3125,
386,2.3759713,16,0.25,
387,3.0266104,16,0.0625,
388,2.9839814,16,0.125,
389,2.7628863,16,0.25,
390,2.874827,16,0.0625,
391,2.6996408,16,0.1875,
392,2.2267706,16,0.25,
393,2.9153347,16,0.125,
394,2.813458,16,0.0625,
395,2.8319902,16,0.0625,
396,2.3333645,16,0.25,
397,2.6950698,16,0.125,
398,2.6479936,16,0.3125,
399,2.6367426,16,0.125,
400,2.8140059,16,0.1875,0.136
401,2.8662531,16,0.0,
402,2.7665033,16,0.1875,
403,2.5517545,16,0.125,
404,2.8217492,16,0.0625,
405,2.441132,16,0.3125,
406,2.9412975,16,0.0625,
407,2.7614927,16,0.125,
408,2.6781044,16,0.0625,
409,2.6122231,16,0.3125,
410,2.893093,16,0.0625,
411,3.146751,16,0.0,
412,2.9912276,16,0.0625,
413,2.5961251,16,0.25,
414,2.66145,16,0.0625,
415,2.7013917,16,0.125,
416,2.9446125,16,0.125,
417,2.7031267,16,0.125,
418,2.4629922,16,0.125,
419,2.6867204,16,0.125,
420,2.534983,16,0.1875,
421,2.8817515,16,0.0625,
422,2.861855,16,0.125,
423,2.9427817,16,0.125,
424,2.7341087,16,0.125,
425,2.6703176,16,0.1875,
426,2.5548291,16,0.125,
427,2.994349,16,0.125,
428,2.7286572,16,0.1875,
429,2.671947,16,0.1875,
430,3.036456,16,0.0625,
431,2.6654975,16,0.1875,
432,2.7278883,16,0.1875,
433,2.7109385,16,0.125,
434,2.6488576,16,0.1875,
435,2.5894322,16,0.3125,
436,2.5443106,16,0.125,
437,2.8857064,16,0.125,
438,2.321186,16,0.1875,
439,2.7340949,16,0.0625,
440,2.909302,16,0.1875,
441,2.41474,16,0.1875,
442,2.8123934,16,0.125,
443,2.7921324,16,0.1875,
444,2.407177,16,0.125,
445,2.7095168,16,0.1875,
446,2.3225193,16,0.3125,
447,2.3402052,16,0.25,
448,2.5193796,16,0.25,
449,2.8478928,16,0.0625,
450,2.3415368,16,0.125,
451,2.5940433,16,0.25,
452,2.5398922,16,0.25,
453,2.463735,16,0.25,
454,1.8574816,16,0.4375,
455,2.6899743,16,0.3125,
456,2.2786932,16,0.3125,
457,2.6847796,16,0.25,
458,2.837698,16,0.125,
459,2.9016554,16,0.125,
460,2.7525797,16,0.3125,
