Step,Loss,Batch Size,Train Accuracy,Test Accuracy
286,1.9499888,16,0.25,
287,1.8605777,16,0.4375,
288,1.8940928,16,0.1875,
289,2.071988,16,0.25,
290,1.820081,16,0.3125,
291,1.9216536,16,0.3125,
292,1.7706227,16,0.4375,
293,1.6387558,16,0.375,
294,1.9327952,16,0.375,
295,1.4187357,16,0.5,
296,2.1391528,16,0.0625,
297,1.6802919,16,0.375,
298,1.9858317,16,0.375,
299,2.145616,16,0.125,
300,2.136918,16,0.25,0.3012
301,1.9061685,16,0.4375,
302,1.8114628,16,0.125,
303,1.8799019,16,0.3125,
304,1.9035096,16,0.4375,
305,1.9315097,16,0.1875,
306,1.7436466,16,0.375,
307,1.4932103,16,0.5,
308,2.050415,16,0.125,
309,1.8974016,16,0.5,
310,1.946907,16,0.125,
311,1.8035913,16,0.375,
312,1.6913321,16,0.3125,
313,1.792296,16,0.375,
314,1.6911865,16,0.25,
315,1.8404379,16,0.3125,
316,1.903949,16,0.25,
317,1.6866117,16,0.375,
318,2.2943425,16,0.25,
319,1.8162113,16,0.4375,
320,1.9716078,16,0.1875,
321,1.7322946,16,0.4375,
322,1.9572177,16,0.4375,
323,1.8030565,16,0.3125,
324,2.3773298,16,0.25,
325,1.9905212,16,0.125,
326,1.8471317,16,0.25,
327,1.8804358,16,0.25,
328,1.35407,16,0.6875,
329,1.9890461,16,0.25,
330,1.6488204,16,0.4375,
331,2.2280252,16,0.1875,
332,2.1559849,16,0.1875,
333,2.164484,16,0.0625,
334,1.6915138,16,0.375,
335,1.3665836,16,0.625,
336,1.908184,16,0.1875,
337,1.539345,16,0.5,
338,1.9931895,16,0.1875,
339,2.3285189,16,0.25,
340,1.4276286,16,0.625,
341,1.8416417,16,0.375,
342,1.6376635,16,0.1875,
343,1.5193918,16,0.375,
344,1.596463,16,0.4375,
345,1.7932253,16,0.25,
346,1.927201,16,0.5,
347,1.4715413,16,0.5,
348,1.3986074,16,0.4375,
349,2.1642323,16,0.1875,
350,2.1714969,16,0.375,
351,1.8112979,16,0.3125,
352,1.9995791,16,0.375,
353,1.7797976,16,0.25,
354,1.9372282,16,0.3125,
355,1.9668279,16,0.3125,
356,1.7134898,16,0.5,
357,1.6708169,16,0.375,
358,1.637969,16,0.5,
359,1.8312507,16,0.1875,
360,1.9705338,16,0.375,
361,2.2251947,16,0.125,
362,1.6996735,16,0.5,
363,2.0861554,16,0.4375,
364,1.8941814,16,0.25,
365,1.8213618,16,0.375,
366,1.7351174,16,0.3125,
367,1.5502613,16,0.5,
368,1.7517012,16,0.3125,
369,1.5876327,16,0.4375,
370,1.7615485,16,0.1875,
371,1.5479448,16,0.4375,
372,1.3671623,16,0.4375,
373,1.9217492,16,0.25,
374,2.307178,16,0.1875,
375,2.3042994,16,0.375,
376,1.6927329,16,0.4375,
377,1.6214726,16,0.4375,
378,1.8333886,16,0.3125,
379,1.87245,16,0.3125,
380,1.9567633,16,0.125,
381,1.4433186,16,0.5625,
382,1.7246168,16,0.3125,
383,1.5616848,16,0.4375,
384,1.5928373,16,0.25,
385,1.8606317,16,0.5,
386,2.05305,16,0.125,
387,1.7986237,16,0.5,
388,1.73139,16,0.3125,
389,1.7038802,16,0.375,
390,1.6465257,16,0.375,
391,2.1413133,16,0.25,
392,1.5561771,16,0.4375,
393,1.8440034,16,0.375,
394,1.5203251,16,0.625,
395,1.6721504,16,0.375,
396,1.7155241,16,0.25,
397,1.5551356,16,0.375,
398,1.6372917,16,0.4375,
399,1.1978846,16,0.625,
400,1.7223802,16,0.25,0.3283
401,2.0052361,16,0.3125,
402,1.7428921,16,0.25,
403,1.711366,16,0.1875,
404,1.8639851,16,0.4375,
405,1.7547417,16,0.375,
406,1.4554069,16,0.4375,
407,1.7740214,16,0.4375,
408,1.8677801,16,0.375,
409,1.3707318,16,0.625,
410,1.6683805,16,0.5,
411,1.8034129,16,0.4375,
412,1.3819144,16,0.4375,
413,1.5480751,16,0.375,
414,1.4591738,16,0.5,
415,1.7897849,16,0.375,
416,1.5886006,16,0.25,
417,1.5840898,16,0.25,
418,2.0597005,16,0.3125,
419,1.6281722,16,0.3125,
420,1.7547851,16,0.25,
421,1.3776927,16,0.5,
422,1.9164363,16,0.375,
423,1.4527055,16,0.5,
424,1.5278833,16,0.375,
425,1.8040127,16,0.4375,
426,1.5368971,16,0.5625,
427,1.9500242,16,0.3125,
428,2.052917,16,0.1875,
429,1.6482658,16,0.5,
430,1.78261,16,0.3125,
431,1.4684439,16,0.5,
432,1.9847925,16,0.25,
433,1.7174393,16,0.375,
434,2.1431055,16,0.25,
435,1.8619305,16,0.375,
436,1.6488264,16,0.5625,
437,1.5132217,16,0.375,
438,1.4466165,16,0.375,
439,1.7252195,16,0.375,
440,1.5131276,16,0.375,
441,2.2852342,16,0.125,
442,1.7986736,16,0.375,
443,1.6075896,16,0.5,
444,1.7480803,16,0.3125,
445,2.0358028,16,0.125,
446,1.5883908,16,0.3125,
447,1.6224631,16,0.5,
448,1.734017,16,0.5,
449,1.6924402,16,0.375,
450,1.4309943,16,0.5625,
451,2.0128162,16,0.25,
452,1.685331,16,0.5,
453,1.5709441,16,0.375,
454,1.3726928,16,0.375,
455,1.873076,16,0.375,
456,2.36094,16,0.125,
457,2.3180785,16,0.1875,
458,2.000842,16,0.25,
459,1.7357609,16,0.375,
460,1.706875,16,0.4375,
461,1.8717395,16,0.375,
462,1.8386254,16,0.4375,
463,1.6157539,16,0.3125,
464,1.7258081,16,0.375,
465,1.3727288,16,0.375,
466,1.9435332,16,0.3125,
467,1.8761939,16,0.4375,
468,1.9799118,16,0.25,
469,1.6758652,16,0.4375,
470,1.9712131,16,0.3125,
471,1.9251196,16,0.25,
472,1.6813128,16,0.4375,
473,1.8519524,16,0.3125,
474,2.1474698,16,0.0625,
475,1.5666003,16,0.4375,
476,1.5929825,16,0.4375,
477,1.9047698,16,0.1875,
478,1.7341337,16,0.5,
479,1.6397535,16,0.5,
480,1.6637552,16,0.4375,
481,1.66296,16,0.375,
482,1.5444877,16,0.5625,
483,1.8776482,16,0.3125,
484,1.4339881,16,0.5,
485,1.6885872,16,0.375,
486,2.0058296,16,0.125,
487,2.0337014,16,0.4375,
488,1.8640327,16,0.4375,
489,1.7952857,16,0.375,
490,1.4258807,16,0.4375,
491,1.4388527,16,0.375,
492,1.4114954,16,0.5,
493,1.1267998,16,0.5625,
494,2.5137959,16,0.3125,
495,1.6745994,16,0.3125,
496,2.0661354,16,0.25,
497,1.8848565,16,0.1875,
498,1.8779261,16,0.1875,
499,1.5644007,16,0.3125,
500,1.7019367,16,0.1875,0.2965
501,2.1013677,16,0.25,
502,1.8543026,16,0.125,
503,1.8170217,16,0.4375,
504,1.7707331,16,0.125,
505,1.6351227,16,0.5,
506,1.8794999,16,0.1875,
507,1.9809849,16,0.3125,
508,1.8887813,16,0.25,
509,1.7619874,16,0.3125,
510,1.6350487,16,0.3125,
511,1.7487855,16,0.4375,
512,1.7002027,16,0.3125,
513,1.9620628,16,0.3125,
514,1.6186315,16,0.3125,
515,1.8498818,16,0.1875,
516,1.8934796,16,0.5,
517,1.4088137,16,0.375,
518,2.2902253,16,0.125,
519,1.4323142,16,0.5625,
520,1.3172268,16,0.5625,
521,1.3216243,16,0.5625,
522,1.8915973,16,0.3125,
523,1.8106656,16,0.4375,
524,1.995612,16,0.375,
525,1.7442479,16,0.375,
526,1.7087567,16,0.25,
527,2.04496,16,0.375,
528,1.8911643,16,0.375,
529,1.6429493,16,0.5,
530,1.5023158,16,0.5625,
531,1.572742,16,0.3125,
532,1.7241039,16,0.3125,
533,1.6200471,16,0.3125,
534,1.7118566,16,0.1875,
535,1.1421939,16,0.8125,
536,1.5518199,16,0.375,
537,1.8815376,16,0.375,
538,1.5884231,16,0.4375,
539,2.0186946,16,0.1875,
540,1.9403608,16,0.25,
541,1.8573003,16,0.3125,
542,1.582794,16,0.4375,
543,1.5802836,16,0.25,
544,1.6797366,16,0.4375,
545,1.288824,16,0.4375,
546,1.4565512,16,0.625,
547,2.3365884,16,0.1875,
548,1.6168202,16,0.1875,
549,1.312839,16,0.625,
550,1.500413,16,0.375,
551,1.7671151,16,0.375,
552,1.2861557,16,0.5625,
553,1.261733,16,0.625,
554,1.6255864,16,0.3125,
555,1.9944904,16,0.25,
556,1.5983672,16,0.375,
557,1.5779518,16,0.5625,
558,2.0218115,16,0.1875,
559,1.3441377,16,0.5625,
560,1.3235779,16,0.5,
561,1.7805369,16,0.375,
562,2.120375,16,0.125,
563,1.5453436,16,0.5,
564,1.5064952,16,0.5,
565,1.9536412,16,0.25,
566,1.6703305,16,0.3125,
567,1.7602065,16,0.25,
568,1.8610601,16,0.1875,
569,1.7530117,16,0.5,
570,1.8987379,16,0.375,
571,1.3907195,16,0.4375,
572,1.3962048,16,0.5625,
573,2.1741009,16,0.3125,
574,1.9247298,16,0.1875,
575,1.7464868,16,0.375,
576,1.9655778,16,0.125,
577,1.3609996,16,0.5,
578,1.3630104,16,0.5625,
579,1.726938,16,0.5625,
580,1.6450177,16,0.375,
581,1.8947297,16,0.4375,
582,1.9116509,16,0.25,
583,1.6854386,16,0.4375,
584,1.4719213,16,0.4375,
585,1.5597883,16,0.625,
586,1.4775547,16,0.4375,
587,1.5905671,16,0.5625,
588,1.4213212,16,0.5,
589,1.7512451,16,0.5,
590,1.9632866,16,0.125,
591,1.1891133,16,0.625,
592,2.3304687,16,0.25,
593,1.5538255,16,0.3125,
594,1.6093512,16,0.5,
595,1.9199901,16,0.25,
596,1.511565,16,0.4375,
597,1.1137941,16,0.8125,
598,1.8218195,16,0.4375,
599,1.5607942,16,0.5,
600,1.7332988,16,0.4375,0.3363
601,1.9978279,16,0.375,
602,2.665413,16,0.0625,
603,1.8587267,16,0.0625,
604,2.253186,16,0.3125,
605,1.7092032,16,0.5,
606,1.9717121,16,0.3125,
607,1.2611873,16,0.6875,
608,2.0276854,16,0.4375,
609,1.665025,16,0.375,
610,1.690938,16,0.3125,
611,1.7162337,16,0.25,
612,1.954042,16,0.1875,
613,1.1389314,16,0.75,
614,1.4318414,16,0.4375,
615,1.8349624,16,0.3125,
616,1.8996408,16,0.4375,
617,1.68931,16,0.5,
618,1.9378645,16,0.375,
619,1.4605145,16,0.4375,
620,1.5723304,16,0.375,
621,2.0435903,16,0.1875,
622,1.5567095,16,0.375,
623,1.7351296,16,0.3125,
624,1.7360091,16,0.5,
625,1.7313055,16,0.375,
626,1.655093,16,0.3125,
627,1.8238755,16,0.3125,
628,1.9063072,16,0.4375,
629,1.7352285,16,0.375,
630,1.6944216,16,0.375,
631,1.6606519,16,0.4375,
632,1.5360974,16,0.25,
633,1.795876,16,0.3125,
634,1.8886782,16,0.4375,
635,1.7362032,16,0.25,
636,1.5319752,16,0.3125,
637,1.3705806,16,0.375,
638,2.0942478,16,0.1875,
639,1.9196726,16,0.1875,
640,1.9635555,16,0.3125,
641,1.5415528,16,0.5,
642,1.8627118,16,0.1875,
643,1.3912127,16,0.5,
644,1.4856366,16,0.5,
645,1.1878495,16,0.5,
646,1.9147342,16,0.375,
647,2.251471,16,0.25,
648,1.9715736,16,0.1875,
649,1.5980146,16,0.375,
650,1.6984468,16,0.4375,
651,1.9722239,16,0.125,
652,1.8553698,16,0.3125,
653,1.7540236,16,0.375,
654,1.6720003,16,0.25,
655,1.3672334,16,0.5,
656,1.7248292,16,0.3125,
657,1.5961728,16,0.4375,
658,1.5960128,16,0.375,
659,1.8691628,16,0.25,
660,1.4813211,16,0.4375,
661,1.8806571,16,0.25,
662,1.1714082,16,0.5,
663,1.4527494,16,0.3125,
664,1.9422798,16,0.4375,
665,1.6807523,16,0.5,
666,1.5859177,16,0.3125,
667,1.5162897,16,0.375,
668,1.4146739,16,0.3125,
669,2.3139007,16,0.1875,
670,1.5424607,16,0.5,
671,1.75067,16,0.375,
672,1.4295739,16,0.4375,
673,1.3639731,16,0.5,
674,1.722623,16,0.3125,
675,1.5639278,16,0.375,
676,1.720835,16,0.375,
677,1.5804954,16,0.4375,
678,1.7768776,16,0.3125,
679,1.4163525,16,0.5,
680,1.8964972,16,0.375,
681,1.76187,16,0.4375,
682,1.9030914,16,0.3125,
683,1.7599496,16,0.25,
684,1.4221146,16,0.4375,
685,1.9819721,16,0.25,
686,1.5376079,16,0.5,
687,1.5754788,16,0.3125,
688,1.5501397,16,0.375,
689,1.688729,16,0.3125,
690,1.9465892,16,0.3125,
691,1.4969676,16,0.5,
692,1.9100688,16,0.3125,
693,1.9665438,16,0.375,
694,1.6464701,16,0.5,
695,1.7545267,16,0.375,
696,1.7086501,16,0.375,
697,1.591531,16,0.5,
698,1.7230024,16,0.375,
699,1.7160592,16,0.4375,
700,1.0115428,16,0.75,0.4441
701,1.2447915,16,0.625,
702,2.1663914,16,0.4375,
703,3.0220866,16,0.25,
704,1.764534,16,0.375,
705,1.5661255,16,0.5,
706,1.6088074,16,0.375,
707,1.7088675,16,0.4375,
708,1.817316,16,0.375,
709,1.7232981,16,0.3125,
710,2.0076554,16,0.3125,
711,2.195908,16,0.375,
712,1.9056964,16,0.3125,
713,1.7032666,16,0.25,
714,1.3248428,16,0.5,
715,1.8543272,16,0.25,
716,1.6954187,16,0.3125,
717,1.8326137,16,0.3125,
718,1.5297652,16,0.4375,
719,1.1735194,16,0.625,
720,1.9119606,16,0.3125,
721,2.1329417,16,0.125,
722,2.1158288,16,0.1875,
723,1.6459017,16,0.5,
724,1.7355525,16,0.375,
725,1.656326,16,0.375,
726,1.7689762,16,0.5,
727,1.7304648,16,0.5625,
728,1.5240113,16,0.4375,
729,1.5544899,16,0.3125,
730,1.8154535,16,0.4375,
731,1.5402217,16,0.4375,
732,0.88292205,16,0.8125,
733,1.5676711,16,0.5625,
734,1.1580656,16,0.5625,
735,1.2475891,16,0.5625,
736,1.52968,16,0.5,
737,2.1805093,16,0.3125,
738,2.1413908,16,0.25,
739,1.4915819,16,0.4375,
740,1.0915875,16,0.625,
741,2.1019247,16,0.3125,
742,1.7542462,16,0.3125,
743,1.4553213,16,0.375,
744,1.5314972,16,0.4375,
745,1.3427075,16,0.4375,
746,1.8628222,16,0.375,
747,1.8800731,16,0.25,
748,1.853687,16,0.4375,
749,1.804924,16,0.5,
750,1.7074577,16,0.25,
751,1.9820472,16,0.3125,
752,1.3988134,16,0.5625,
753,1.7430786,16,0.3125,
754,1.7266366,16,0.4375,
755,1.760693,16,0.375,
756,1.6469424,16,0.375,
757,1.690373,16,0.3125,
758,1.871228,16,0.4375,
